ID;IDr;CisloPece;CisloPodstavce;CisloOchrannehoPoklopu;Vsazky;Smena;CasZahajeni;CasUkonceni;Batch01_GIN;Batch01_Lot;Batch01_WGHT;Batch01_stred;Batch01_cont;Batch01_Nazev;Batch01_CisloZakazky;Batch02_GIN;Batch02_Lot;Batch02_WGHT;Batch02_stred;Batch02_cont;Batch02_Nazev;Batch02_CisloZakazky;Batch03_GIN;Batch03_Lot;Batch03_WGHT;Batch03_stred;Batch03_cont;Batch03_Nazev;Batch03_CisloZakazky;Batch04_GIN;Batch04_Lot;Batch04_WGHT;Batch04_stred;Batch04_cont;Batch04_Nazev;Batch04_CisloZakazky;Batch05_GIN;Batch05_Lot;Batch05_WGHT;Batch05_stred;Batch05_cont;Batch05_Nazev;Batch05_CisloZakazky;Batch06_GIN;Batch06_Lot;Batch06_WGHT;Batch06_stred;Batch06_cont;Batch06_Nazev;Batch06_CisloZakazky;Batch07_GIN;Batch07_Lot;Batch07_WGHT;Batch07_stred;Batch07_cont;Batch07_Nazev;Batch07_CisloZakazky;Batch08_GIN;Batch08_Lot;Batch08_WGHT;Batch08_stred;Batch08_cont;Batch08_Nazev;Batch08_CisloZakazky;Batch09_GIN;Batch09_Lot;Batch09_WGHT;Batch09_stred;Batch09_cont;Batch09_Nazev;Batch09_CisloZakazky;Batch10_GIN;Batch10_Lot;Batch10_WGHT;Batch10_stred;Batch10_cont;Batch10_Nazev;Batch10_CisloZakazky;Batch11_GIN;Batch11_Lot;Batch11_WGHT;Batch11_stred;Batch11_cont;Batch11_Nazev;Batch11_CisloZakazky;Batch12_GIN;Batch12_Lot;Batch12_WGHT;Batch12_stred;Batch12_cont;Batch12_Nazev;Batch12_CisloZakazky;Plyn_Spotreba_Cyklus;OA_Spotreba_Cyklus;Zdroj;StatusProgramu;Reported;PosledniZmena;RadekVytvoren
237;18;2;1;1;66P1X4;A;10.10.2024 15:52;2024-10-11 04:11:03.000;xf12665500;728590;946;b485;h101024048;VD;525438;xf12665500;728590;1110;b485;h101024045;VD;525438;xf12665500;728590;1080;b485;h101024044;VD;525438;NULL;NULL;NULL;NULL;NULL; ;NULL;NULL;NULL;NULL;NULL;NULL; ;NULL;NULL;NULL;NULL;NULL;NULL; ;NULL;NULL;NULL;NULL;NULL;NULL; ;NULL;NULL;NULL;NULL;NULL;NULL; ;NULL;NULL;NULL;NULL;NULL;NULL; ;NULL;NULL;NULL;NULL;NULL;NULL; ;NULL;NULL;NULL;NULL;NULL;NULL; ;NULL;NULL;NULL;NULL;NULL;NULL; ;NULL;165;59;1ESAB1;0;1;2024-10-11 04:11:03.000;10.10.2024 10:12
238;17;0;4;7;PRP4X5;A;01.01.1900 0:00;1900-01-01 00:00:00.000;xf13132211;40962;850;b410;m091024127;Predtah;525378;xf13132211;40962;850;b410;m091024133;Predtah;525378;xf13132211;40962;850;b410;m101024007;Predtah;525378;xf13132211;40962;850;b410;m101024013;Predtah;525378;xf13132211;40962;850;b410;m101024030;Predtah;525378;xf13132211;40962;850;b410;m101024035;Predtah;525378;xf13132211;40962;850;b410;m101024036;Predtah;525378;xf13132211;40962;850;b410;m101024044;Predtah;525378;xf13132211;40962;850;b410;m101024061;Predtah;525378;xf13132211;40962;850;b410;m101024043;Predtah;525378;xf13132211;40962;850;b410;m101024062;Predtah;525378;xf13132211;40962;850;b410;m101024072;Predtah;525378;165;59;1ESAB1;3;0;2024-10-11 04:55:54.000;2024-10-10 14:03:33.063
239;17;2;2;10;66P2X2;A;10.10.2024 22:21;2024-10-11 10:07:24.000;xf12665500;728590;998;b485;h101024046;VD;525438;xf12665500;728590;1002;b485;h101024047;VD;525438;xf12665500;728590;950;b485;h101024049;VD;525438;NULL;NULL;NULL;NULL;NULL; ;NULL;NULL;NULL;NULL;NULL;NULL; ;NULL;NULL;NULL;NULL;NULL;NULL; ;NULL;NULL;NULL;NULL;NULL;NULL; ;NULL;NULL;NULL;NULL;NULL;NULL; ;NULL;NULL;NULL;NULL;NULL;NULL; ;NULL;NULL;NULL;NULL;NULL;NULL; ;NULL;NULL;NULL;NULL;NULL;NULL; ;NULL;NULL;NULL;NULL;NULL;NULL; ;NULL;175;67;1ESAB1;0;1;2024-10-11 10:07:24.000;10.10.2024 16:51
240;13;2;8;11;prp8x3;D;14.10.2024 6:34;1900-01-01 00:00:00.000;XF13132211;40962;850;B410;M101024087;Predtah;525378;XF13132211;40962;850;B410;M101024086;Predtah;525378;XF13132211;40962;850;B410;M101024116;Predtah;525378;XF13132211;40962;850;B410;M101024128;Predtah;525378;XF13132211;40962;850;B410;M101024073;Predtah;525378;XF13132211;40962;850;B410;M101024137;Predtah;525378;XF13132211;40962;850;B410;M101024143;Predtah;525378;XF13132211;40962;850;B410;M101024155;Predtah;525378;XF13132211;40962;850;B410;M111024009;Predtah;525378;xf13132211;40962;555;b410;m111024019;Predtah;525378;xf13132211;40962;850;b410;m111024013;Predtah;525378;;;0;;;Predtah;525378;0;0;1ESAB1;1;0;2024-10-14 06:35:24.000;11.10.2024 1:10
243;18;2;3;8;66p3x3;D;11.10.2024 4:15;2024-10-11 15:41:01.000;XF12665500;728590;1106;B485;H081024103;VD;525438;XF12665500;728590;1148;B485;H111024021;VD;525438;XF12665500;728590;1056;B485;H111024022;VD;525438;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;182;328;1ESAB1;0;1;2024-10-11 15:41:01.000;11.10.2024 4:19
244;19;2;1;1;66p1x5;D;11.10.2024 10:34;2024-10-11 20:59:16.000;xf12665500;728590;1150;b485;h111024020;VD;525438;xf12665500;728590;950;b485;h111024023;VD;525438;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;148;52;1ESAB1;0;1;2024-10-11 20:59:16.000;11.10.2024 4:49
245;18;2;2;10;66P2X3;B;11.10.2024 15:50;2024-10-12 03:05:18.000;xf12665500;728590;1154;b485;h111024019;VD;525438;xf12665500;728590;1196;b485;h111024018;VD;525438;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;158;67;1ESAB1;0;1;2024-10-12 03:05:18.000;11.10.2024 13:25
246;14;4;5;4;prp5x5;A;14.10.2024 7:10;NULL;XF13962211;76891;850;B410;M111024060;Predtah;525381;XF13962211;76891;850;B410;M111024038;Predtah;525381;XF13962211;76891;780;B410;M111024037;Predtah;525381;XF13962211;76891;850;B410;M111024122;Predtah;525381;XF13962211;76891;850;B410;M111024140;Predtah;525381;XF13962211;76891;850;B410;M121024011;Predtah;525381;XF13962211;76891;850;B410;M121024028;Predtah;525381;XF13962211;76891;550;B410;M131024106;Predtah;525381;XF13962211;76891;500;B410;M121024101;Predtah;525381;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;399;247;1ESAB1;1;0;2024-10-14 07:10:51.000;11.10.2024 15:15
247;20;0;1;1;PRP1X1;A;01.01.1900 0:00;1900-01-01 00:00:00.000;xf13292211;40288;850;b410;m111024070;Predtah;525380;xf13292211;40288;850;b410;m101024115;Predtah;525380;xf13292211;40288;850;b410;m101024123;Predtah;525380;xf13292211;40288;850;b410;m101024134;Predtah;525380;xf13292211;40288;850;b410;m101024142;Predtah;525380;xf13292211;40288;850;b410;m101024154;Predtah;525380;xf13292211;40288;850;b410;m111024006;Predtah;525380;xf13292211;40288;850;b410;m111024012;Predtah;525380;xf13292211;40288;850;b410;m111024020;Predtah;525380;xf13292211;40288;850;b410;m111024028;Predtah;525380;xf13292211;40288;850;b410;m111024029;Predtah;525380;xf13292211;40288;850;b410;m111024039;Predtah;525380;148;52;1ESAB2;3;0;2024-10-11 23:27:35.000;11.10.2024 23:27
248;1;0;1;1;PRP1X10;B;25.07.2024 20:44;2024-07-29 04:35:17.000;xf13292211;737181;850;b410;m240724075;Predtah;492760;xf13292211;737181;850;b410;m240724074;Predtah;492760;xf13292211;737181;850;b410;m240724088;Predtah;492760;xf13292211;737181;850;b410;m240724089;Predtah;492760;xf13292211;737181;850;b410;m240724085;Predtah;492760;xf13292211;737181;850;b410;m240724086;Predtah;492760;xf13292211;737181;850;b410;m240724094;Predtah;492760;xf13292211;737181;850;b410;m240724099;Predtah;492760;xf13292211;737181;940;b410;m240724109;Predtah;492760;xf13292211;737181;650;b410;m240724114;Predtah;492760;xf13292211;737181;850;b410;m250724003;Predtah;493176;xf13292211;737181;850;b410;m250724032;Predtah;493176;0;1;NULL;0;1;NULL;NULL
249;1;4;3;5;PRP3X9;B;25.07.2024 20:52;2024-07-27 09:58:17.000;xf13292211;737181;650;b410;m240724117;Predtah;492760;xf13292211;737181;850;b410;m230724029;Predtah;492760;xf13292211;737181;850;b410;m230724011;Predtah;492760;xf13292211;737181;850;b410;m230724037;Predtah;492760;xf13292211;737181;850;b410;m230724062;Predtah;492760;xf13292211;737181;850;b410;m230724046;Predtah;492760;xf13292211;737181;850;b410;m230724074;Predtah;492760;xf13292211;737181;850;b410;m230724069;Predtah;492760;xf13292211;737181;850;b410;m230724098;Predtah;492760;xf13292211;737181;850;b410;m230724088;Predtah;492760;xf13292211;737181;685;b410;m230724119;Predtah;492760;xf13292211;737181;850;b410;m230724106;Predtah;492760;488;219;NULL;0;1;NULL;NULL
250;1;0;4;7;PRP4X9;A;29.07.2024 4:25;2024-07-29 05:02:18.000;xf13292211;737181;850;b410;m250724045;Predtah;493176;xf13292211;737181;850;b410;m250724056;Predtah;493176;xf13292211;737181;850;b410;m250724023;Predtah;493176;xf13292211;737181;850;b410;m250724044;Predtah;493176;xf13292211;737181;850;b410;m250724006;Predtah;493176;xf13292211;737181;850;b410;m250724069;Predtah;493176;xf13292211;737181;850;b410;m250724081;Predtah;493176;xf13292211;737181;850;b410;m250724093;Predtah;493176;xf13292211;737181;850;b410;m250724101;Predtah;493176;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;0;2;NULL;0;1;NULL;NULL
251;1;3;7;5;PRP7X1;A;19.08.2024 11:29;2024-08-20 03:48:30.000;xf13312211;59540;850;b410;m190824012;Predtah;497130;xf13312211;59540;850;b410;m190824027;Predtah;497130;xf13312211;59540;850;b410;m190824040;Predtah;497130;xf13312211;59540;800;b410;m190824049;Predtah;497130;xf13312211;59540;880;b410;m190824055;Predtah;497130;xf13312211;59540;660;b410;m190824064;Predtah;497130;xf13312211;59540;560;b410;m190824067;Predtah;497130;xf13312211;59540;550;b410;m200824004;Predtah;497130;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;74;121;1ESAB1;0;1;NULL;NULL
252;2;2;1;1;PRP1X1;A;02.09.2024 6:14;2024-09-03 13:50:36.000;xf13132211;40962;800;b410;m280824095;Predtah;507367;xf13132211;40962;727;b410;m280824105;Predtah;507367;xf13132211;40962;850;b410;m280824087;Predtah;507367;xf13132211;40962;850;b410;m280824076;Predtah;507367;xf13132211;40962;850;b410;m280824041;Predtah;507367;xf13132211;40962;850;b410;m280824063;Predtah;507367;xf13132211;40962;850;b410;m280824035;Predtah;507367;xf13132211;40962;850;b410;m280824054;Predtah;507367;xf13132211;40962;850;b410;m280824019;Predtah;507367;xf13132211;40962;850;b410;m280824002;Predtah;507367;xf13132211;40962;850;b410;m280824012;Predtah;507367;NULL;NULL;0;NULL;NULL; ;NULL;433;82;1ESAB2;0;1;NULL;NULL
253;2;4;4;7;PRP4X1;A;02.09.2024 6:24;2024-09-04 08:33:08.000;xf13312211;57927;800;b410;m280824115;Predtah;507371;xf13312211;57927;800;b410;m280824122;Predtah;507371;xf13312211;57927;800;b410;m280824127;Predtah;507371;xf13312211;57927;790;b410;m290824006;Predtah;507371;xf13312211;57927;800;b410;m280824136;Predtah;507371;xf13312211;59540;800;b410;m290824007;Predtah;507372;xf13312211;59540;800;b410;m290824026;Predtah;507372;xf13312211;59540;800;b410;m290824039;Predtah;507372;xf13312211;59540;800;b410;m290824060;Predtah;507372;xf13312211;59540;792;b410;m290824078;Predtah;507372;xf13962211;76963;641;b410;m290824094;Predtah;507373;xf13962211;76963;506;b410;m290824086;Predtah;507373;483;344;1ESAB2;0;1;NULL;NULL
254;1;0;2;NULL;NULL;NULL;30.08.2024 11:17;2024-08-30 20:45:42.000;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;210;46;1ESAB1;0;1;NULL;NULL
255;2;0;3;NULL;NULL;NULL;30.08.2024 11:18;2024-08-30 16:16:24.000;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;194;62;1ESAB2;0;1;NULL;NULL
256;2;0;7;NULL;NULL;NULL;02.09.2024 6:42;2024-09-03 18:56:12.000;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;476;252;1ESAB1;0;1;NULL;NULL
257;1;0;5;4;PRP5X1;A;03.09.2024 2:44;2024-09-04 13:47:56.000;xf13292211;40288;850;b410;m300824121;Predtah;507369;xf13292211;40288;850;b410;m310824016;Predtah;507369;xf13292211;40288;850;b410;m020924033;Predtah;507369;xf13292211;40288;850;b410;m020924031;Predtah;507369;xf13292211;40288;850;b410;m010924098;Predtah;507369;xf13292211;40288;850;b410;m010924080;Predtah;507369;xf13292211;40288;850;b410;m010924006;Predtah;507369;xf13292211;40288;850;b410;m310824125;Predtah;507369;xf13292211;40288;850;b410;m310824118;Predtah;507369;xf13292211;40288;850;b410;m310824113;Predtah;507369;xf13292211;40288;850;b410;m310824110;Predtah;507369;xf13292211;40288;850;b410;m310824092;Predtah;507369;465;296;1ESAB2;0;1;NULL;NULL
258;3;1;3;2;66P3X1;B;02.09.2024 6:51;2024-09-02 20:53:19.000;xf12665500;735145;1052;b485;h300824054;VD;507749;xf12665500;735145;1070;b485;h300824055;VD;507749;xf12665500;735145;1050;b485;h300824056;VD;507749;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;198;80;1ESAB1;0;1;NULL;NULL
259;1;1;8;11;66P8X1;A;02.09.2024 13:16;2024-09-03 00:48:53.000;xf12665500;735145;1050;b485;h300824105;VD;507749;xf12665500;735145;1068;b485;h300824106;VD;507749;xf12665500;735145;1128;b485;h300824103;VD;507749;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;170;38;1ESAB1;0;1;NULL;NULL
260;2;3;2;10;08P2x1;B;30.08.2024 11:17;2024-09-05 09:44:29.000;xf13085500;24429;998;B485;H040924046;VD;510696;xf13085500;24429;1048;B485;H040924047;VD;510696;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;202;86;1ESAB1;0;1;NULL;NULL
261;2;1;8;11;PRP8X1;C;03.09.2024 2:09;2024-09-04 15:59:59.000;xf13292211;40288;850;b410;m010924045;Predtah;507369;xf13292211;40288;850;b410;m010924059;Predtah;507369;xf13292211;40288;850;b410;m010924074;Predtah;507369;xf13292211;40288;850;b410;m010924116;Predtah;507369;xf13292211;40288;850;b410;m010924110;Predtah;507369;xf13292211;40288;850;b410;m010924113;Predtah;507369;xf13292211;40288;850;b410;m010924140;Predtah;507369;xf13292211;40288;850;b410;m010924143;Predtah;507369;xf13292211;40288;850;b410;m010924144;Predtah;507369;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;371;217;1ESAB2;0;1;NULL;NULL
262;3;2;1;1;PRP1X2;A;03.09.2024 18:51;2024-09-05 03:41:13.000;xf13292211;40288;850;b410;m020924001;Predtah;507369;xf13292211;40288;850;b410;m020924011;Predtah;507369;xf13292211;40288;850;b410;m010924145;Predtah;507369;xf13292211;40288;850;b410;m010924146;Predtah;507369;xf13292211;40288;850;b410;m020924026;Predtah;507369;xf13292211;40288;850;b410;m020924027;Predtah;507369;xf13292211;40288;850;b410;m020924024;Predtah;507369;xf13292211;40288;850;b410;m020924025;Predtah;507369;xf13292211;40288;850;b410;m020924023;Predtah;507369;xf13292211;40288;850;b410;m020924032;Predtah;507369;xf13292211;40288;850;b410;m020924034;Predtah;507369;xf13292211;40288;850;b410;m020924043;Predtah;507369;433;70;1ESAB1;0;1;NULL;NULL
263;3;1;7;5;PRP7X2;C;03.09.2024 20:44;2024-09-03 20:48:55.000;xf13292211;40288;850;b410;m020924058;Predtah;507369;xf13292211;40288;850;b410;m310824090;Predtah;507369;xf13292211;40288;850;b410;m010924046;Predtah;507369;xf13292211;40288;660;b410;m020924066;Predtah;507369;xf13292211;40288;850;b410;m010924024;Predtah;507369;xf13292211;40288;850;b410;m010924013;Predtah;507369;xf13292211;40288;650;b410;m020924063;Predtah;507369;xf13292211;40292;850;b410;m030924016;Predtah;507370;xf13292211;40292;850;b410;m030924025;Predtah;507370;xf13292211;40292;850;b410;m020924149;Predtah;507370;xf13292211;40292;850;b410;m030924001;Predtah;507370;xf13292211;40292;850;b410;m020924117;Predtah;507370;0;0;1ESAB1;0;1;NULL;NULL
264;4;1;7;5;PRP7X2;C;03.09.2024 21:29;2024-09-05 09:03:19.000;xf13292211;40288;850;b410;m020924058;Predtah;507369;xf13292211;40288;850;b410;m310824090;Predtah;507369;xf13292211;40288;850;b410;m010924046;Predtah;507369;xf13292211;40288;660;b410;m020924066;Predtah;507369;xf13292211;40288;850;b410;m010924024;Predtah;507369;xf13292211;40288;850;b410;m010924013;Predtah;507369;xf13292211;40288;650;b410;m020924063;Predtah;507369;xf13292211;40292;850;b410;m030924016;Predtah;507370;xf13292211;40292;850;b410;m030924025;Predtah;507370;xf13292211;40292;850;b410;m020924149;Predtah;507370;xf13292211;40292;850;b410;m030924001;Predtah;507370;xf13292211;40292;850;b410;m020924117;Predtah;507370;432;241;1ESAB2;0;1;NULL;NULL
265;4;3;3;2;SAWP3X1;C;04.09.2024 7:06;2024-09-04 23:00:01.000;XF12345501;56607;1064;b430;2;VD;510822;XF12345501;56607;972;b430;2;VD;510822;XF12345501;56607;1018;b430;2;VD;510822;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;211;84;1ESAB1;0;1;NULL;NULL
266;3;4;4;7;prp4x2;B;04.09.2024 9:40;2024-09-05 19:13:58.000;XF13292211;40292;850;B410;M020924062;Predtah;507370;XF13292211;40292;850;B410;M020924064;Predtah;507370;XF13292211;40292;850;B410;M020924069;Predtah;507370;XF13292211;40292;850;B410;M020924065;Predtah;507370;XF13292211;40292;850;B410;M020924073;Predtah;507370;XF13292211;40292;850;B410;M020924072;Predtah;507370;XF13292211;40292;800;B410;M020924092;Predtah;507370;XF13292211;40292;850;b410;M020924086;Predtah;507370;XF13292211;40292;850;B410;M020924087;Predtah;507370;XF13292211;40292;600;B410;M020924098;Predtah;507370;XF13292211;40292;800;B410;M020924093;Predtah;507370;XF13292211;40292;850;B410;M020924111;Predtah;507370;463;86;1ESAB1;0;1;NULL;NULL
267;3;1;8;11;prp8x2;B;04.09.2024 16:19;2024-09-05 20:52:16.000;XF13132211M030924130;40962;462;B410;M030924139;NULL;510699;XF13132211;40962;523;B410;M030924133;NULL;510699;XF13132211;40962;700;B410;M030924130;NULL;510699;XF13132211;40962;700;B410;M030924120;NULL;510699;XF13132211;40962;700;B410;M030924113;NULL;510699;XF13292211;40292;850;B410;M030924037;NULL;507370;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;293;156;1ESAB1;0;1;NULL;NULL
268;2;4;5;4;prp5x2;B;05.09.2024 5:17;2024-09-06 09:25:01.000;XF13122211;28059;850;B410;M040924011;Predtah;510698;XF13122211;28059;850;B410;M040924006;Predtah;510698;XF13122211;28059;850;B410;M040924023;Predtah;510698;XF13122211;28059;850;B410;M040924016;Predtah;510698;XF13122211;28059;900;B410;M040924038;Predtah;510698;XF13122211;28059;850;B410;M040924031;Predtah;510698;XF13122211;28059;895;B410;M040924041;Predtah;510698;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;342;170;1ESAB1;0;1;NULL;NULL
269;5;3;3;2;SAWP3X2;A;05.09.2024 2:44;2024-09-05 18:58:46.000;xf12345501;56607;1000;b430;2;VD;510822;xf12345501;56607;1061;b430;2;VD;510822;xf12345501;56607;1064;b430;2;VD;510822;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;192;252;1ESAB1;0;1;NULL;NULL
270;4;2;1;1;SAWP1X1;D;05.09.2024 12:59;2024-09-06 03:48:12.000;xf12245501;28623;1016;b430;2;VD;510820;xf12245501;28623;1000;b430;2;VD;510820;VASPO;NULL;3;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;NULL;NULL;0;NULL;NULL; ;NULL;177;52;1ESAB1;0;1;NULL;NULL
271;5;1;7;5;prp7x3;D;05.09.2024 10:45;2024-09-06 19:17:22.000;XF13092211;40942;870;B410;M040924052;Predtah;510697;XF13092211;40942;870;B410;M040924048;Predtah;510697;XF13092211;40942;870;B410;M040924061;Predtah;510697;XF13092211;40942;870;B410;M040924059;Predtah;510697;XF13092211;40942;530;B410;M050924019;Predtah;510697;XF13092211;40942;870;B410;M050924017;Predtah;510697;XF13092211;40942;870;B410;M040924114;Predtah;510697;XF13092211;40942;870;B410;M040924098;Predtah;510697;XF13092211;40942;870;B410;M040924095;Predtah;510697;XF13092211;40942;870;B410;M040924082;Predtah;510697;XF13092211;40942;870;B410;M040924077;Predtah;510697;XF13092211;40942;870;B410;M040924078;Predtah;510697;372;98;1ESAB1;0;1;2024-09-06 19:17:22.000;NULL
